fecha,AB-01,RX-12,HO-25,HQ-22,GR-12,PR-14,AF-56,ST-10,AT-24,HF-02
01/10/23,5,18,24,24,18,3,9,22,18,2
02/10/23,7,2,7,23,4,2,21,4,6,21
03/10/23,4,12,2,22,0,12,10,17,21,14
04/10/23,2,8,4,5,10,9,14,24,21,4
05/10/23,0,2,2,1,20,24,16,1,18,6
06/10/23,0,13,2,2,4,6,17,13,12,20
07/10/23,24,10,13,22,11,3,0,13,15,11
08/10/23,19,3,22,24,19,14,24,5,21,10
09/10/23,4,13,10,6,5,23,7,18,9,23
10/10/23,5,12,16,4,2,13,3,10,12,13
11/10/23,1,4,20,2,16,14,7,10,3,11
12/10/23,15,10,21,21,7,21,19,0,9,17
13/10/23,16,22,7,23,3,3,7,13,0,6
14/10/23,9,14,24,19,2,13,2,23,12,19
15/10/23,16,9,2,13,16,13,9,19,24,13
16/10/23,9,22,14,13,3,2,5,14,1,19
17/10/23,3,21,9,21,9,16,2,0,24,3
18/10/23,14,20,17,12,23,0,9,7,17,5
19/10/23,4,19,3,14,21,13,15,6,13,22
20/10/23,4,8,0,17,12,13,19,20,2,13
21/10/23,9,18,22,11,8,7,10,11,17,17
22/10/23,24,14,0,18,22,23,22,15,0,14
23/10/23,20,6,16,6,15,8,13,19,2,5
24/10/23,11,20,10,13,20,16,4,12,15,3
25/10/23,17,0,4,17,21,5,10,18,6,6
26/10/23,0,23,8,5,9,11,18,14,8,24
27/10/23,4,14,12,1,14,19,15,2,23,11
28/10/23,1,14,15,10,0,20,12,16,0,16
29/10/23,4,6,7,25,24,4,22,2,23,0
30/10/23,23,17,13,12,0,18,20,7,6,0
31/10/23,21,21,17,12,0,0,15,10,18,24
01/11/23,19,2,3,4,2,21,23,23,1,22
02/11/23,13,19,15,3,9,15,10,3,21,14
03/11/23,14,24,4,22,22,7,12,4,13,13
04/11/23,8,2,19,17,22,2,6,0,22,0
05/11/23,15,12,1,6,19,10,18,4,6,15
06/11/23,18,12,10,21,8,14,2,15,12,2
07/11/23,20,2,0,6,18,0,24,3,10,18
08/11/23,21,14,17,1,5,12,11,3,8,16
09/11/23,3,8,20,6,8,13,10,7,5,4
10/11/23,4,16,0,10,1,13,10,4,22,19
11/11/23,16,1,22,23,19,17,3,12,16,16
12/11/23,0,14,23,21,0,10,23,20,11,0
13/11/23,15,0,10,4,13,0,18,21,0,6
14/11/23,21,17,19,22,2,18,17,21,24,5
15/11/23,4,13,18,9,12,19,19,9,23,19
16/11/23,0,22,22,14,17,1,3,0,11,6
17/11/23,10,7,19,7,0,1,14,12,12,6
18/11/23,7,14,18,7,13,14,15,8,1,13
19/11/23,20,10,8,10,8,2,9,18,12,4
20/11/23,8,23,15,7,1,1,19,3,1,5
21/11/23,0,6,7,11,11,24,15,20,2,13
22/11/23,22,16,18,0,15,22,11,7,6,14
23/11/23,2,15,4,3,11,23,0,1,4,11
24/11/23,5,8,19,21,1,6,15,3,15,16
25/11/23,9,14,20,12,17,15,1,11,17,0
26/11/23,0,8,16,19,8,0,21,24,10,18
27/11/23,24,18,6,10,9,18,22,5,8,13
28/11/23,13,3,22,7,23,19,21,19,16,2
29/11/23,20,11,19,21,1,10,15,21,14,3
30/11/23,0,21,8,23,1,17,2,4,14,16
01/12/23,10,8,1,12,14,0,0,10,4,12
02/12/23,24,5,22,13,20,9,7,10,9,23
03/12/23,15,9,12,7,16,10,16,12,20,19
04/12/23,0,10,17,3,17,21,4,5,18,22
05/12/23,15,21,18,19,15,10,7,8,3,7
06/12/23,9,0,23,12,19,1,14,22,24,5
07/12/23,12,17,15,8,9,11,6,9,4,1
08/12/23,22,24,21,9,6,21,16,2,18,5
09/12/23,22,19,15,12,9,14,19,9,0,5
10/12/23,3,0,0,15,16,18,11,0,3,5
11/12/23,10,0,8,18,22,7,0,1,19,15
12/12/23,16,15,13,0,23,5,21,12,22,24
13/12/23,8,10,18,15,19,5,8,16,13,18
14/12/23,9,12,23,17,8,8,13,11,1,4
15/12/23,2,21,2,13,6,25,14,14,14,8
16/12/23,5,12,11,8,16,16,4,9,16,4
17/12/23,7,6,19,4,5,9,6,15,14,0
18/12/23,14,20,25,20,22,23,6,24,2,10
19/12/23,3,18,20,4,18,13,20,10,20,11
20/12/23,0,13,15,21,2,7,8,14,8,11
21/12/23,0,23,8,2,0,4,14,22,22,0
22/12/23,23,9,22,18,1,1,5,16,1,20
23/12/23,22,10,23,15,12,23,12,14,0,0
24/12/23,14,4,15,22,22,10,1,3,19,0
25/12/23,22,17,0,7,14,18,19,15,20,23
26/12/23,7,23,12,24,21,24,4,4,22,18
27/12/23,17,7,6,6,16,3,4,13,11,0
28/12/23,17,14,10,5,19,3,5,23,1,21
29/12/23,20,2,13,16,23,20,15,18,16,24
30/12/23,12,7,16,15,3,6,11,12,10,2
31/12/23,12,18,5,15,10,14,20,18,17,23
